ID	activities_GSM1705375	activities_GSM1705377	deltas_GSM1705375	deltas_GSM1705377	zscores_GSM1705375	zscores_GSM1705377	combined.Zscore	regions_present_fraction	region	motif	standard_zscores_GSM1705375	pval_GSM1705375	corr_pval_GSM1705375	standard_zscores_GSM1705377	pval_GSM1705377	corr_pval_GSM1705377	combined.standard.Zscore	max.abs.standard.Zscore	significance-marker
u0to0.d0to50|PCBP2_334	10.3600716	-10.3600716	3.311524	3.311524	3.12849099	-3.12849099	3.12849099	0.73219979	u0to0.d0to50	PCBP2_334	1.7061518038896102	0.0439899097498569	1.0	-1.7061518038896102	0.0439899097498569	1.0	1.7061518038896102	1.7061518038896102	False
u0to0.d0to50|PTBP1_1340	-11.334721	11.334721	8.813313	8.813313	-1.2860908000000002	1.2860908000000002	1.2860908000000002	0.36450584	u0to0.d0to50	PTBP1_1340	-1.6389718853597302	0.0506095575389618	1.0	1.6389718853597302	0.0506095575389618	1.0	1.6389718853597302	1.6389718853597302	False
u0to0.d0to50|PCBP1_M177_0.6	-11.2546715	11.2546715	8.801973	8.801973	-1.27865328	1.27865328	1.27865328	0.44527099	u0to0.d0to50	PCBP1_M177_0.6	-1.6333361478143102	0.0511991591112292	1.0	1.6333361478143102	0.0511991591112292	1.0	1.6333361478143102	1.6333361478143102	False
u25to0.d0to25|RBMX_842	62.9735537	-62.9735537	17.682707	17.682707	3.56130741	-3.56130741	3.56130741	0.42082891	u25to0.d0to25	RBMX_842	1.62232298633406	0.0523671047142543	1.0	-1.62232298633406	0.0523671047142543	1.0	1.62232298633406	1.62232298633406	False
u25to0.d0to25|SRSF1_1223	-229.2402796	229.2402796	89.379125	89.379125	-2.56480784	2.56480784	2.56480784	0.19128587	u25to0.d0to25	SRSF1_1223	-1.57346373007889	0.0578057401422409	1.0	1.57346373007889	0.0578057401422409	1.0	1.57346373007889	1.57346373007889	False
u25to0.d0to25|SRSF1_1234	-143.7389675	143.7389675	56.042782	56.042782	-2.56480784	2.56480784	2.56480784	0.20828905	u25to0.d0to25	SRSF1_1234	-1.57346373007889	0.0578057401422409	1.0	1.57346373007889	0.0578057401422409	1.0	1.57346373007889	1.57346373007889	False
u25to0.d0to25|SF1_1206	-315.7799215	315.7799215	123.120304	123.120304	-2.56480784	2.56480784	2.56480784	0.2911796	u25to0.d0to25	SF1_1206	-1.57346373007889	0.0578057401422409	1.0	1.57346373007889	0.0578057401422409	1.0	1.57346373007889	1.57346373007889	False
u25to0.d0to25|RBMX_1377	-409.6326914	409.6326914	159.71282	159.71282	-2.56480784	2.56480784	2.56480784	0.31137088	u25to0.d0to25	RBMX_1377	-1.57346373007889	0.0578057401422409	1.0	1.57346373007889	0.0578057401422409	1.0	1.57346373007889	1.57346373007889	False
u0to0.d0to50|PTBP1_997	-12.5792791	12.5792791	10.898946	10.898946	-1.15417396	1.15417396	1.15417396	0.51753454	u0to0.d0to50	PTBP1_997	-1.53901266668708	0.0619006019743637	1.0	1.53901266668708	0.0619006019743637	1.0	1.53901266668708	1.53901266668708	False
u25to0.d0to25|RBMX_526	166.0134805	-166.0134805	49.595405	49.595405	3.34735607	-3.34735607	3.34735607	0.78002125	u25to0.d0to25	RBMX_526	1.5107118229086298	0.0654309444192867	1.0	-1.5107118229086298	0.0654309444192867	1.0	1.5107118229086298	1.5107118229086298	False
