ID	activities_GSM1705375	activities_GSM1705377	deltas_GSM1705375	deltas_GSM1705377	zscores_GSM1705375	zscores_GSM1705377	combined.Zscore	regions_present_fraction	region	motif	standard_zscores_GSM1705375	pval_GSM1705375	corr_pval_GSM1705375	standard_zscores_GSM1705377	pval_GSM1705377	corr_pval_GSM1705377	combined.standard.Zscore	max.abs.standard.Zscore	significance-marker
u50to0.d0to0|RBMX_849	3.898311104	-3.898311104	0.08452267	0.04959673	46.12148764	-78.60016338	64.44058234	0.18181818	u50to0.d0to0	RBMX_849	3.46141544424645	0.000268671444534726	0.0268671444534726	-5.0680413885131514	2.0096501106028602e-07	2.0096501106028602e-05	4.33972582044938	5.0680413885131514	True
u0to0.d0to50|RBM3_M048_0.6	2.03853898	-2.03853898	0.03140021	0.04351563	64.92119670000001	-46.8461368	56.6097267	0.7700535	u0to0.d0to50	RBM3_M048_0.6	4.02865609074546	2.8048304859311603e-05	0.0028048304859311602	-2.5613076608616	0.00521394822358496	0.521394822358496	3.37567525327073	4.02865609074546	True
u0to0.d0to50|PUM1_419	3.21826488	-3.21826488	0.16391783	0.03852488	19.6334036	-83.537302	60.67928539999999	0.27272729999999995	u0to0.d0to50	PUM1_419	1.16313105332909	0.122388167329266	1.0	-4.61077614264795	2.00584176809298e-06	0.00020058417680929799	3.3624492921700697	4.61077614264795	True
u50to0.d0to0|SNRPA_518	3.717505092	-3.717505092	0.24428027	0.0606069	15.21819631	-61.33798888	44.68748359	0.26203209	u50to0.d0to0	SNRPA_518	1.31212776072869	0.0947385153572496	1.0	-4.01814150656538	2.93294842125849e-05	0.00293294842125849	2.98890786302107	4.01814150656538	True
u50to0.d0to0|RBMX_844	4.35752507	-4.35752507	0.09035241	0.14063135	48.22810029	-30.98544665	40.53422974	0.13903743	u50to0.d0to0	RBMX_844	3.60792788443408	0.000154326124158879	0.0154326124158879	-2.1720745174910103	0.01492502135185	1.0	2.97783909310181	3.60792788443408	True
u50to0.d0to0|SNRPA_M319_0.6	3.829215013	-3.829215013	0.25044567	0.06279475	15.2896036	-60.97985452	44.45399102	0.26203209	u50to0.d0to0	SNRPA_M319_0.6	1.3170940540361498	0.0939035499265088	1.0	-3.996359475438	3.216201766741189e-05	0.0032162017667411893	2.9753676919080494	3.996359475438	True
u50to0.d0to0|RBMS3_M055_0.6	-2.048114072	2.048114072	0.03877266	0.05112939	-52.82367105	40.057468799999995	46.87718544	0.43850267	u50to0.d0to0	RBMS3_M055_0.6	-3.42010434745551	0.000312985597815463	0.0312985597815463	2.1488149825067904	0.0158245346261846	1.0	2.85609169815412	3.42010434745551	True
u50to0.d0to0|SFPQ_s26	-2.446443458	2.446443458	0.04364495	0.08377384	-56.05330103	29.20295082	44.692196700000004	0.43315508	u50to0.d0to0	SFPQ_s26	-3.64472132641125	0.00013384084565439398	0.0133840845654394	1.4886341260450602	0.0682918700645183	1.0	2.78388443621704	3.64472132641125	True
u0to0.d0to50|PUM1_545	-1.90438976	1.90438976	0.03497973	0.06843866	-54.442658400000006	27.826229600000005	43.2336796	0.3101604	u0to0.d0to50	PUM1_545	-3.52393351317564	0.000212595462609507	0.0212595462609507	1.6096871975192402	0.0537330806281998	1.0	2.73945252551853	3.52393351317564	True
u50to0.d0to0|RBMX_848	-3.018923492	3.018923492	0.10998017	0.04916468	-27.44970701	61.40431264	47.56036178	0.20320856	u50to0.d0to0	RBMX_848	-1.65537489482752	0.0489242376243515	1.0	3.44714786794792	0.000283269205496642	0.0283269205496642	2.70398728417157	3.44714786794792	True
