coordinates	GSM1705375_included	GSM1705377_included	GSM1705375_total	GSM1705377_total
21:43743669-43743807:+	0.0	0.0	81.19250699999998	120.46365
21:43954550-43955242:+	0.0	37.522290999999996	0.0	37.522290999999996
21:43948154-43948329:+	0.0	0.0	0.0	0.0
21:43960632-43960779:+	107.224267	0.0	3345.1952380000002	2296.118079
21:44063053-44063168:+	768.707336	0.0	1277.8667110000001	726.990518
21:44096605-44096713:+	0.0	0.0	1277.8667110000001	726.990518
21:44127575-44127693:+	139.668093	0.0	3752.6212060000016	3548.562356000001
21:44289228-44289416:+	0.0	0.0	0.0	0.0
21:44305800-44305935:+	0.0	48.901515	131.100856	198.50303200000002
21:44304275-44304455:+	0.0	0.0	6526.093524	5444.288516999999
21:44427010-44427111:+	0.0	0.0	65.873226	28.787573
21:44422270-44422419:+	0.0	0.0	0.0	0.0
21:45184474-45184593:+	222.21556199999998	936.164574	819.975899	1090.460836
21:45134715-45134832:+	0.0	0.0	696.6340180000002	758.452237
21:45744231-45744337:+	0.0	0.0	0.0	0.0
21:45913951-45914094:+	0.0	0.0	50.470642	173.473667
21:46291334-46291462:+	1953.722817	1844.3926800000002	2264.65045	2388.152039
21:46351429-46351540:+	1790.1836429999998	2070.531687	1790.1836429999998	2070.531687
21:46504361-46504489:+	614.988182	496.039817	614.988182	496.039817
21:46636439-46636547:+	70.418576	130.86694599999998	2629.620344	2114.5163629999997
21:46658745-46658920:+	0.0	0.0	0.0	101.674824
21:46663383-46663554:+	0.0	265.708906	0.0	367.38373
21:46661800-46661936:+	0.0	0.0	0.0	265.708906
21:46191066-46191235:-	0.0	0.0	0.0	0.0
21:46191076-46191235:-	119.50401299999999	46.85885800000001	119.50401299999999	46.85885800000001
21:44920821-44921050:-	0.0	0.0	0.0	0.0
21:44920821-44920962:-	0.0	0.0	0.0	0.0
21:42002350-42002503:-	0.0	0.0	626.845872	497.955067
21:42002350-42002563:-	0.0	0.0	626.845872	497.955067
21:39435420-39435573:-	0.0	0.0	0.0	0.0
21:39435420-39435542:-	0.0	0.0	0.0	0.0
21:39345830-39345958:-	2216.611366	2589.243307	26020.371693000005	19933.236115
21:39345830-39347292:-	684.34839	4158.824284	1243.504755	5189.465149000001
21:39255645-39255828:-	603.6935310000001	624.700898	603.6935310000001	624.700898
21:39255665-39255828:-	0.0	0.0	0.0	0.0
21:36947333-36948287:-	60.592969999999994	44.418566999999996	196.57889999999998	44.418566999999996
21:36948166-36948287:-	151.356067	0.0	287.341997	0.0
21:33584590-33584726:-	0.0	0.0	994.131084	1165.644349
21:33584590-33584768:-	3253.7259760000006	3255.866422	4247.85706	4421.510771
21:5134361-5134479:-	0.0	0.0	460.930603	673.1721110000002
21:6459456-6459638:-	0.0	0.0	3659.3052060000014	4988.708178
21:14523271-14523394:-	0.0	0.0	0.0	0.0
21:15014344-15014466:-	267.93489	169.270134	267.934895	169.270139
21:17604145-17604276:-	0.0	339.825312	2866.3781240000003	3985.8188739999996
21:17611657-17611774:-	156.65903	0.0	2778.870055	3985.8188739999996
21:26000015-26000182:-	14736.367596	3971.434526	19304.603627	13502.883136
21:26111979-26112146:-	15290.365047000001	11705.751956	19304.603627	13132.642556
21:28967602-28967973:-	0.0	0.0	1010.954599	694.1386790000001
21:29064968-29065105:-	25972.203984	24485.280757	25972.203984	24485.280757
21:31202908-31203012:-	1005.079691	227.847577	1005.079693	227.847579
21:32584161-32584305:-	38.247683	27.388532	38.247683	153.57367299999999
21:32577426-32577676:-	0.0	0.0	38.247683	153.57367299999999
21:32750917-32751032:-	2738.2478530000003	2564.2565990000003	2738.2478530000003	2564.2565990000003
21:33436883-33436992:-	276.504793	353.383788	826.6297279999999	1373.325602
21:33447018-33447140:-	0.0	114.51878700000002	826.6297279999999	1487.8443889999999
21:33529567-33529768:-	0.0	0.0	10068.603491000002	7987.922174
21:33579350-33579562:-	4247.85706	5728.507069	4247.85706	5728.507069
21:33583488-33583666:-	3253.7259760000006	3255.866422	3253.7259760000006	4562.86272
21:33597280-33597401:-	1232.502634	966.7737470000001	1232.502634	966.7737470000001
21:33641179-33641305:-	384.33347799999996	0.0	1566.273783	1358.866336
21:33909082-33909211:-	27856.547178	25138.617129000002	27856.547178	25485.784976000003
21:34458654-34458764:-	0.0	0.0	0.0	0.0
21:34525088-34525608:-	0.0	0.0	0.0	0.0
21:34559223-34559419:-	0.0	0.0	565.018848	222.985654
21:34834410-34834601:-	546.988244	306.117707	546.988244	383.846859
21:34886843-34887096:-	0.0	0.0	238.552361	0.0
21:36477374-36477563:-	0.0	0.0	0.0	0.0
21:36946009-36946154:-	1188.824177	1133.32113	1324.810107	1133.32113
21:37072145-37072310:-	1363.566064	1285.741363	4289.798541	3436.367476
21:37240496-37240639:-	1711.017189	1129.05949	1711.017189	1129.05949
21:38445404-38445621:-	0.0	0.0	10.773108	0.0
21:39181772-39181878:-	4290.021793	4134.012797	7391.072618	8333.112542
21:39210786-39210929:-	603.6935310000001	624.700898	603.6935310000001	624.700898
21:39247701-39247832:-	603.6935310000001	624.700898	603.6935310000001	624.700898
21:39347379-39347483:-	2186.780099	5395.961781	26562.113400000002	23812.922002
21:39428172-39428503:-	0.0	54.34700600000001	0.0	54.34700600000001
21:39427759-39427905:-	0.0	0.0	0.0	0.0
21:39444644-39444745:-	0.0	0.0	95.828822	0.0
21:39439634-39439773:-	0.0	0.0	0.0	0.0
21:41488394-41488513:-	15.908579999999999	42.629053000000006	15.908579999999999	42.629053000000006
21:41494356-41494578:-	15.908579999999999	42.629053000000006	15.908579999999999	42.629053000000006
21:41823318-41823449:-	326.756966	351.34475999999995	326.756966	351.34475999999995
21:41859031-41859228:-	0.0	0.0	326.756966	351.34475999999995
21:41992493-41994108:-	313.557328	1e-06	313.557328	1e-06
21:42009467-42009597:-	0.0	0.0	626.845872	497.955067
21:42492966-42493079:-	38.348062	0.0	38.348062	112.617034
21:43067778-43067960:-	0.0	0.0	1461.993422	1526.272519
21:44236867-44237217:-	189.990111	144.26709499999996	189.990111	144.26709499999996
21:44801284-44801398:-	311.791174	474.93838099999994	3897.801679	3884.4101929999997
